=================================================================================
             KUMBH MONITOR - EXHAUSTIVE CSV DATASET VERIFICATION REPORT
             Run Date: 2026-05-29 11:56:13
             Target File: data_pipeline/articles_export.csv
=================================================================================

HEADER VERIFICATION: [PASSED]

Row ID | Pub Date   | Source                       | Columns | CSV Status | Notes
--------------------------------------------------------------------------------------------------------------
311    | 2026-02-26 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
70     | 2026-02-17 | mid-day.com                  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
323    | 2026-01-31 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
89     | 2026-01-12 | freepressjournal.in          | 6       | OK         | Cell values standard, uncorrupted and properly escaped
194    | 2026-01-04 | yourstory.com                | 6       | OK         | Cell values standard, uncorrupted and properly escaped
1      | 2025-12-02 | deccanchronicle.com          | 6       | OK         | Cell values standard, uncorrupted and properly escaped
298    | 2025-11-27 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
97     | 2025-11-26 | thehindu.com                 | 6       | OK         | Cell values standard, uncorrupted and properly escaped
202    | 2025-11-26 | statista.com                 | 6       | OK         | Cell values standard, uncorrupted and properly escaped
3      | 2025-11-14 | deccanchronicle.com          | 6       | OK         | Cell values standard, uncorrupted and properly escaped
7      | 2025-11-11 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
203    | 2025-11-06 | newindianexpress.com         | 6       | OK         | Cell values standard, uncorrupted and properly escaped
205    | 2025-11-06 | theweek.in                   | 6       | OK         | Cell values standard, uncorrupted and properly escaped
71     | 2025-11-04 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
309    | 2025-10-27 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
329    | 2025-10-27 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
342    | 2025-10-25 | thehindu.com                 | 6       | OK         | Cell values standard, uncorrupted and properly escaped
4      | 2025-10-04 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
200    | 2025-10-01 | hinduismtoday.com            | 6       | OK         | Cell values standard, uncorrupted and properly escaped
245    | 2025-09-25 | hinduismtoday.com            | 6       | OK         | Cell values standard, uncorrupted and properly escaped
54     | 2025-08-04 | indiatvnews.com              | 6       | OK         | Cell values standard, uncorrupted and properly escaped
84     | 2025-07-26 | freepressjournal.in          | 6       | OK         | Cell values standard, uncorrupted and properly escaped
87     | 2025-07-25 | punekarnews.in               | 6       | OK         | Cell values standard, uncorrupted and properly escaped
80     | 2025-07-17 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
78     | 2025-06-30 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
227    | 2025-06-30 | bbc.com                      | 6       | OK         | Cell values standard, uncorrupted and properly escaped
229    | 2025-06-11 | thehindu.com                 | 6       | OK         | Cell values standard, uncorrupted and properly escaped
12     | 2025-06-05 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
299    | 2025-05-18 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
261    | 2025-05-17 | gktoday.in                   | 6       | OK         | Cell values standard, uncorrupted and properly escaped
279    | 2025-05-16 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
11     | 2025-04-25 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
38     | 2025-04-21 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
18     | 2025-04-08 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
74     | 2025-04-04 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
32     | 2025-03-24 | mid-day.com                  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
166    | 2025-03-17 | m.thewire.in                 | 6       | OK         | Cell values standard, uncorrupted and properly escaped
222    | 2025-03-17 | theguardian.com              | 6       | OK         | Cell values standard, uncorrupted and properly escaped
192    | 2025-03-13 | etvbharat.com                | 6       | OK         | Cell values standard, uncorrupted and properly escaped
247    | 2025-03-11 | blog.prif.org                | 6       | OK         | Cell values standard, uncorrupted and properly escaped
118    | 2025-03-07 | blog.mygov.in                | 6       | OK         | Cell values standard, uncorrupted and properly escaped
190    | 2025-03-06 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
183    | 2025-03-03 | indiatoday.in                | 6       | OK         | Cell values standard, uncorrupted and properly escaped
154    | 2025-03-02 | hindustantimes.com           | 6       | OK         | Cell values standard, uncorrupted and properly escaped
297    | 2025-02-28 | hindustantimes.com           | 6       | OK         | Cell values standard, uncorrupted and properly escaped
73     | 2025-02-27 | timesofindia.indiatimes.com  | 6       | OK         | Cell values standard, uncorrupted and properly escaped
152    | 2025-02-27 | indianexpress.com            | 6       | OK         | Cell values standard, uncorrupted and properly escaped
169    | 2025-02-27 | ddnews.gov.in                | 6       | OK         | Cell values standard, uncorrupted and properly escaped
