=================================================================================
             KUMBH MONITOR - EXHAUSTIVE ARTICLE VERIFICATION REPORT
             Run Date: 2026-05-29 11:56:18
             Total Cleaned Articles Checked: 192
=================================================================================

ID   | Date       | Source                       | Body Len | Verif Status | Notes
--------------------------------------------------------------------------------------------------------------
1    | 2025-12-02 | deccanchronicle.com          | 2546     | PASSED       | Fully Verified
3    | 2025-11-14 | deccanchronicle.com          | 2851     | PASSED       | Fully Verified
4    | 2025-10-04 | timesofindia.indiatimes.com  | 7457     | PASSED       | Fully Verified
5    | 2015-07-14 | aajtak.in                    | 1990     | PASSED       | Fully Verified
7    | 2025-11-11 | timesofindia.indiatimes.com  | 7069     | PASSED       | Fully Verified
8    | 2015-07-15 | thehindu.com                 | 2149     | PASSED       | Fully Verified
9    | 2016-08-18 | timesofindia.indiatimes.com  | 6472     | PASSED       | Fully Verified
10   | 2024-06-25 | timesofindia.indiatimes.com  | 5450     | PASSED       | Fully Verified
11   | 2025-04-25 | timesofindia.indiatimes.com  | 5148     | PASSED       | Fully Verified
12   | 2025-06-05 | timesofindia.indiatimes.com  | 5542     | PASSED       | Fully Verified
16   | 2015-08-29 | indianexpress.com            | 4018     | PASSED       | Fully Verified
17   | 2015-07-14 | indianexpress.com            | 4368     | PASSED       | Fully Verified
18   | 2025-04-08 | timesofindia.indiatimes.com  | 6658     | PASSED       | Fully Verified
19   | 2015-08-27 | thehindu.com                 | 1883     | PASSED       | Fully Verified
20   | 2015-07-14 | indianexpress.com            | 4911     | PASSED       | Fully Verified
21   | 2015-08-18 | baps.org                     | 68       | PASSED (WARN) | Clean body extremely short
23   | 2015-07-14 | aajtak.in                    | 380      | PASSED (WARN) | No core Kumbh/Simhastha keywords detected in text
24   | 2015-07-14 | aajtak.in                    | 1879     | PASSED (WARN) | No core Kumbh/Simhastha keywords detected in text
25   | 2015-07-14 | mapsofindia.com              | 5673     | PASSED       | Fully Verified
26   | 2015-08-26 | indianexpress.com            | 3201     | PASSED       | Fully Verified
27   | 2025-02-24 | livemint.com                 | 2603     | PASSED       | Fully Verified
29   | 2025-02-01 | timesofindia.indiatimes.com  | 5150     | PASSED       | Fully Verified
30   | 2016-01-13 | afaqs.com                    | 3465     | PASSED       | Fully Verified
32   | 2025-03-24 | mid-day.com                  | 1485     | PASSED       | Fully Verified
33   | 2015-07-14 | ibtimes.co.in                | 6814     | PASSED       | Fully Verified
35   | 2015-07-14 | navbharattimes.indiatimes.co | 244      | PASSED       | Fully Verified
37   | 2024-07-18 | timesofindia.indiatimes.com  | 4819     | PASSED       | Fully Verified
38   | 2025-04-21 | timesofindia.indiatimes.com  | 4974     | PASSED       | Fully Verified
41   | 2015-07-13 | newsgram.com                 | 1836     | PASSED       | Fully Verified
42   | 2015-09-25 | thebetterindia.com           | 2266     | PASSED       | Fully Verified
43   | 2015-09-13 | indianexpress.com            | 4374     | PASSED       | Fully Verified
44   | 2015-07-07 | indianexpress.com            | 3858     | PASSED       | Fully Verified
46   | 2015-07-01 | theguardian.com              | 6642     | PASSED       | Fully Verified
47   | 2015-09-14 | indianexpress.com            | 3867     | PASSED       | Fully Verified
49   | 2015-07-24 | dailyo.in                    | 2516     | PASSED       | Fully Verified
50   | 2015-07-10 | m.economictimes.com          | 4188     | PASSED       | Fully Verified
52   | 2015-07-17 | sandrp.in                    | 19820    | PASSED       | Fully Verified
54   | 2025-08-04 | indiatvnews.com              | 2691     | PASSED       | Fully Verified
56   | 2015-07-14 | deccanherald.com             | 112      | PASSED (WARN) | Clean body extremely short
57   | 2015-07-22 | mid-day.com                  | 4110     | PASSED       | Fully Verified
58   | 2015-07-15 | indianexpress.com            | 4322     | PASSED       | Fully Verified
59   | 2015-07-04 | timesofindia.indiatimes.com  | 3888     | PASSED       | Fully Verified
62   | 2015-07-13 | hindustantimes.com           | 3283     | PASSED       | Fully Verified
65   | 2015-09-13 | indiatoday.in                | 1627     | PASSED       | Fully Verified
66   | 2025-02-26 | deccanherald.com             | 379      | PASSED       | Fully Verified
70   | 2026-02-17 | mid-day.com                  | 1536     | PASSED       | Fully Verified
71   | 2025-11-04 | timesofindia.indiatimes.com  | 6747     | PASSED       | Fully Verified
73   | 2025-02-27 | timesofindia.indiatimes.com  | 5028     | PASSED       | Fully Verified
74   | 2025-04-04 | timesofindia.indiatimes.com  | 7008     | PASSED       | Fully Verified
76   | 2015-07-14 | hinduexistence.org           | 5975     | PASSED       | Fully Verified
77   | 2015-07-14 | prokerala.com                | 1407     | PASSED       | Fully Verified
78   | 2025-06-30 | timesofindia.indiatimes.com  | 5432     | PASSED       | Fully Verified
80   | 2025-07-17 | timesofindia.indiatimes.com  | 5263     | PASSED       | Fully Verified
84   | 2025-07-26 | freepressjournal.in          | 4638     | PASSED       | Fully Verified
87   | 2025-07-25 | punekarnews.in               | 3857     | PASSED       | Fully Verified
88   | 2024-07-06 | freepressjournal.in          | 3171     | PASSED       | Fully Verified
89   | 2026-01-12 | freepressjournal.in          | 3296     | PASSED       | Fully Verified
94   | 2024-04-18 | freepressjournal.in          | 2756     | PASSED       | Fully Verified
97   | 2025-11-26 | thehindu.com                 | 3440     | PASSED       | Fully Verified
100  | 2015-07-14 | indiatvnews.com              | 3010     | PASSED       | Fully Verified
102  | 2025-01-17 | blog.mygov.in                | 6024     | PASSED       | Fully Verified
104  | 2015-07-14 | hindustantimes.com           | 1609     | PASSED       | Fully Verified
105  | 2025-01-30 | frontline.thehindu.com       | 10273    | PASSED       | Fully Verified
107  | 2025-01-14 | aajtak.in                    | 558      | PASSED       | Fully Verified
116  | 2025-01-14 | etvbharat.com                | 2253     | PASSED       | Fully Verified
118  | 2025-03-07 | blog.mygov.in                | 7240     | PASSED       | Fully Verified
122  | 2025-02-24 | timesofindia.indiatimes.com  | 9037     | PASSED       | Fully Verified
128  | 2025-01-07 | indiaai.gov.in               | 3190     | PASSED       | Fully Verified
129  | 2024-10-07 | newsonair.gov.in             | 3172     | PASSED       | Fully Verified
131  | 2025-02-06 | aninews.in                   | 3843     | PASSED       | Fully Verified
